secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.01,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.02,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.03,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.04,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.05,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.06,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.07,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.08,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.09,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.1,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.11,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.12,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.13,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.14,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.15,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.16,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.17,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.18,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.19,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.2,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.21,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.22,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.23,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.24,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.25,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.26,,,,,,,,,,,,,,12.0,2.0,16.0,45DBP,33
0.27,0.02802,0.004559,0.002628,0.200604,-0.148182,-0.968401,0.008243,0.004963,0.0208,0.992069,0.074683,0.101104,0.0,12.0,2.0,16.0,45DBP,33
0.28,0.02052,0.002561,0.00801,0.200619,-0.14844,-0.968358,0.009296,-0.006956,0.023519,0.992058,0.074813,0.101113,8e-06,12.0,2.0,16.0,45DBP,33
0.29,0.019285,0.006266,0.007994,0.200654,-0.148645,-0.96832,0.004821,-0.012656,0.02409,0.992048,0.074914,0.101134,4.2e-05,12.0,2.0,16.0,45DBP,33
0.3,0.018817,0.007987,0.001022,0.200723,-0.148869,-0.968271,-0.00094,-0.006252,0.017053,0.992036,0.075026,0.101172,6e-05,12.0,2.0,16.0,45DBP,33
0.31,-0.013642,0.007893,0.002056,0.200793,-0.148906,-0.968251,-0.006762,-0.017751,0.011616,0.992031,0.075044,0.101208,6.4e-05,12.0,2.0,16.0,45DBP,33
0.32,-0.036355,0.013481,0.009701,0.200883,-0.148669,-0.968268,-0.008333,-0.025495,0.008109,0.992035,0.07492,0.101256,0.000109,12.0,2.0,16.0,45DBP,33
0.33,-0.054017,0.015004,0.002903,0.201024,-0.148251,-0.968303,-0.002813,-0.011753,0.006145,0.992044,0.074703,0.101331,0.000163,12.0,2.0,16.0,45DBP,33
0.34,-0.069432,0.021045,-0.001462,0.201212,-0.147661,-0.968354,-0.008219,-0.007093,0.002961,0.992057,0.074401,0.101426,0.000201,12.0,2.0,16.0,45DBP,33
0.35,-0.079016,0.025395,-0.005461,0.201457,-0.146924,-0.968415,-0.00735,-0.007007,0.00467,0.992072,0.074026,0.10155,0.000225,12.0,2.0,16.0,45DBP,33
0.36,-0.074324,0.034413,-0.003897,0.20175,-0.146161,-0.96847,0.001237,-0.012729,0.009821,0.992086,0.073638,0.101698,0.000244,12.0,2.0,16.0,45DBP,33
0.37,-0.048376,0.044968,0.000715,0.202143,-0.145548,-0.96848,0.001775,-0.006125,0.012181,0.992089,0.073325,0.101899,0.000286,12.0,2.0,16.0,45DBP,33
0.38,-0.013331,0.039312,0.010009,0.202537,-0.145267,-0.96844,0.008354,0.005618,0.013835,0.992078,0.073177,0.102103,0.00035,12.0,2.0,16.0,45DBP,33
0.39,0.004664,0.032193,0.007038,0.202869,-0.14526,-0.968372,0.009381,0.004407,0.012927,0.992061,0.073168,0.102277,0.000417,12.0,2.0,16.0,45DBP,33
0.4,0.012369,0.025529,-0.003015,0.20315,-0.145337,-0.968301,0.005285,-0.001391,0.009958,0.992043,0.073207,0.102422,0.000432,12.0,2.0,16.0,45DBP,33
0.41,0.020731,0.020649,-0.001583,0.203383,-0.145501,-0.968228,0.006242,-0.008796,0.00758,0.992025,0.073293,0.10254,0.000414,12.0,2.0,16.0,45DBP,33
0.42,0.017219,0.011815,0.007497,0.20353,-0.145693,-0.968168,0.001838,-0.019819,0.002576,0.99201,0.073389,0.102616,0.000421,12.0,2.0,16.0,45DBP,33
0.43,0.020245,0.009017,0.011254,0.195406,-0.154667,-0.968449,0.010602,-0.014614,-0.001979,0.99208,0.077831,0.098578,0.001209,12.0,2.0,16.0,45DBP,33
0.44,0.018885,0.006396,0.004938,0.20003,-0.157552,-0.967039,0.011243,-0.002787,-0.005479,0.991725,0.079312,0.100945,0.00119,12.0,2.0,16.0,45DBP,33
0.45,0.01359,0.011327,-0.004756,0.202126,-0.156267,-0.966812,0.003821,-0.000533,-0.00592,0.991668,0.078684,0.101994,0.00103,12.0,2.0,16.0,45DBP,33
0.46,0.000802,0.003422,-0.002886,0.205045,-0.15261,-0.966782,-0.004239,-0.006387,-0.006897,0.99166,0.076874,0.103439,0.000701,12.0,2.0,16.0,45DBP,33
0.47,-0.014895,0.000913,-0.001694,0.206969,-0.1505,-0.966703,-0.002104,-0.004057,-0.003161,0.99164,0.075829,0.104396,0.000519,12.0,2.0,16.0,45DBP,33
0.48,-0.027157,-0.000778,-0.000159,0.207493,-0.149879,-0.966687,-0.001545,0.003074,0.002056,0.991636,0.07552,0.104659,0.000492,12.0,2.0,16.0,45DBP,33
0.49,-0.019067,0.001295,0.006151,0.207939,-0.150413,-0.966508,-0.006706,0.002509,0.005906,0.991591,0.075786,0.104893,0.000544,12.0,2.0,16.0,45DBP,33
0.5,-0.01626,-0.003273,0.006319,0.207589,-0.152141,-0.966312,-0.008569,0.000484,0.002445,0.991542,0.076646,0.104734,0.000699,12.0,2.0,16.0,45DBP,33
0.51,-0.018273,0.000713,0.010578,0.207255,-0.153819,-0.966119,-0.004527,0.002223,0.003197,0.991493,0.077479,0.104583,0.000852,12.0,2.0,16.0,45DBP,33
