secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.01,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.02,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.03,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.04,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.05,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.06,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.07,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.08,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.09,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.1,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.11,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.12,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.13,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.14,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.15,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.16,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.17,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.18,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.19,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.2,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.21,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.22,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.23,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.24,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.25,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.26,,,,,,,,,,,,,,4.0,2.0,15.0,SACLR,14
0.27,-0.186181,0.034772,0.121853,0.087952,0.076988,-0.993145,0.012558,-0.016792,0.027371,0.998285,-0.038588,0.044027,0.000629,4.0,2.0,15.0,SACLR,14
0.28,-0.141287,0.045633,0.146362,0.088456,0.078487,-0.992983,0.010725,-0.011456,0.027971,0.998243,-0.039371,0.044254,0.001318,4.0,2.0,15.0,SACLR,14
0.29,-0.089414,0.044891,0.179775,0.089053,0.079478,-0.992851,0.011106,-0.004787,0.024925,0.998209,-0.039906,0.04452,0.00215,4.0,2.0,15.0,SACLR,14
0.3,-0.035238,0.043046,0.186275,0.089632,0.079918,-0.992763,0.017042,-0.001443,0.015041,0.998184,-0.04017,0.044773,0.003089,4.0,2.0,15.0,SACLR,14
0.31,0.003934,0.054853,0.161798,0.09026,0.079901,-0.992708,0.026409,0.009516,0.004488,0.998167,-0.040202,0.045053,0.003961,4.0,2.0,15.0,SACLR,14
0.32,0.011814,0.071553,0.127465,0.091005,0.079679,-0.992658,0.023664,0.001314,-0.009677,0.998152,-0.040126,0.045399,0.004677,4.0,2.0,15.0,SACLR,14
0.33,-0.009092,0.082173,0.090781,0.091869,0.079569,-0.992587,0.017551,-0.018183,-0.015729,0.998131,-0.040098,0.045812,0.005206,4.0,2.0,15.0,SACLR,14
0.34,-0.038469,0.08991,0.065253,0.092981,0.079374,-0.992499,0.012778,-0.024137,-0.017007,0.998107,-0.040022,0.046354,0.005595,4.0,2.0,15.0,SACLR,14
0.35,-0.062462,0.08684,0.041263,0.09408,0.079547,-0.992382,0.017751,-0.027942,-0.011677,0.998076,-0.040125,0.046895,0.005858,4.0,2.0,15.0,SACLR,14
0.36,-0.082629,0.085239,0.021326,0.095076,0.080087,-0.992243,0.022447,-0.023111,-0.002019,0.998041,-0.040408,0.047388,0.006011,4.0,2.0,15.0,SACLR,14
0.37,-0.10121,0.081594,0.018474,0.096034,0.080943,-0.992082,0.023442,-0.013377,0.003419,0.998,-0.040846,0.047863,0.006124,4.0,2.0,15.0,SACLR,14
0.38,-0.141053,0.069869,-0.019238,0.096955,0.082124,-0.991895,0.026199,-0.007494,0.010053,0.997953,-0.041444,0.048321,0.006155,4.0,2.0,15.0,SACLR,14
0.39,-0.127972,0.085749,-0.04587,0.097977,0.083629,-0.991669,0.018906,-0.014171,0.021317,0.997897,-0.042195,0.048838,0.005984,4.0,2.0,15.0,SACLR,14
0.4,-0.103412,0.087052,-0.062214,0.099003,0.084747,-0.991472,0.016628,-0.016342,0.023988,0.997849,-0.04275,0.049362,0.005753,4.0,2.0,15.0,SACLR,14
0.41,-0.099907,0.109969,-0.101973,0.100033,0.085477,-0.991306,0.031223,0.001361,0.02219,0.99781,-0.0431,0.049895,0.005365,4.0,2.0,15.0,SACLR,14
0.42,-0.10347,0.1718,-0.152627,0.101349,0.086172,-0.991112,0.018752,-0.013235,0.028938,0.997764,-0.043423,0.050582,0.004743,4.0,2.0,15.0,SACLR,14
0.43,-0.104394,0.27207,-0.189256,0.103564,0.08689,-0.99082,-0.001422,-0.055686,0.03237,0.997695,-0.043747,0.051731,0.003886,4.0,2.0,15.0,SACLR,14
0.44,-0.430152,0.301563,-0.296606,0.106554,0.0887,-0.990343,-0.016451,-0.093018,0.046983,0.997579,-0.044607,0.053281,0.002792,4.0,2.0,15.0,SACLR,14
0.45,-0.976396,0.628377,-0.501433,0.111128,0.097297,-0.989032,-0.024382,-0.176429,0.063861,0.997254,-0.04883,0.055675,0.000851,4.0,2.0,15.0,SACLR,14
0.46,-1.617211,0.851485,0.237076,0.117821,0.109081,-0.987026,-0.120583,-0.428249,0.137477,0.996751,-0.054686,0.059132,-0.00054,4.0,2.0,15.0,SACLR,14
0.47,-2.467217,-0.683189,1.109584,0.118765,0.130298,-0.984336,0.062692,-0.361545,0.128593,0.996067,-0.065664,0.059332,0.00433,4.0,2.0,15.0,SACLR,14
0.48,-1.798105,-0.698256,0.399696,0.112768,0.150314,-0.982186,0.554803,-0.49884,0.092293,0.995495,-0.076008,0.055945,0.009092,4.0,2.0,15.0,SACLR,14
0.49,-1.314977,-0.318071,-0.195646,0.107891,0.165567,-0.980279,0.269199,-0.134332,0.13273,0.995007,-0.083736,0.053374,0.010012,4.0,2.0,15.0,SACLR,14
0.5,-0.685868,0.05989,-0.09009,0.106342,0.175612,-0.978699,0.036694,0.215334,0.201294,0.994616,-0.08878,0.052616,0.009435,4.0,2.0,15.0,SACLR,14
0.51,-0.149313,0.386686,0.320809,0.10876,0.179405,-0.977745,-0.059978,0.207512,0.163307,0.99437,-0.090753,0.053772,0.010039,4.0,2.0,15.0,SACLR,14
0.52,0.093023,0.613767,0.510751,0.114496,0.178994,-0.977165,-0.099345,0.097724,0.1287,0.994202,-0.090702,0.056486,0.012016,4.0,2.0,15.0,SACLR,14
0.53,0.083484,0.701429,0.416032,0.121825,0.177436,-0.976563,-0.076827,0.030571,0.113785,0.994024,-0.090101,0.060004,0.014066,4.0,2.0,15.0,SACLR,14
0.54,-0.100759,0.694348,0.294307,0.129296,0.176988,-0.975683,-0.009774,-0.020845,0.111761,0.993781,-0.090041,0.063648,0.015503,4.0,2.0,15.0,SACLR,14
0.55,-0.382673,0.649167,0.273652,0.136321,0.178945,-0.974369,0.054475,-0.077597,0.118458,0.993432,-0.09119,0.067081,0.016671,4.0,2.0,15.0,SACLR,14
0.56,-0.709898,0.636435,0.283273,0.143059,0.183893,-0.97248,0.065574,-0.127191,0.124397,0.992934,-0.093872,0.070342,0.017946,4.0,2.0,15.0,SACLR,14
0.57,-0.999039,0.663551,0.274311,0.149899,0.191838,-0.969912,0.030368,-0.15659,0.133577,0.992261,-0.098101,0.073623,0.019333,4.0,2.0,15.0,SACLR,14
0.58,-1.131986,0.654054,0.258695,0.156817,0.201885,-0.966773,-0.017444,-0.164212,0.135932,0.991442,-0.103422,0.076924,0.020722,4.0,2.0,15.0,SACLR,14
0.59,-1.1309,0.69095,0.249102,0.163813,0.212487,-0.963335,-0.033076,-0.130776,0.111208,0.990545,-0.109046,0.080258,0.022073,4.0,2.0,15.0,SACLR,14
0.6,-1.040834,0.76932,0.23788,0.171359,0.222589,-0.959735,-0.018572,-0.042322,0.109164,0.989608,-0.11444,0.083882,0.023322,4.0,2.0,15.0,SACLR,14
0.61,-0.896007,0.849288,0.226576,0.179644,0.231484,-0.956108,-0.012728,0.044288,0.119332,0.988665,-0.11924,0.087907,0.02442,4.0,2.0,15.0,SACLR,14
0.62,-0.768902,0.929745,0.22187,0.188684,0.238994,-0.952513,-0.014306,0.089543,0.121809,0.987731,-0.123353,0.092346,0.025365,4.0,2.0,15.0,SACLR,14
0.63,-0.699975,1.0091,0.221993,0.198468,0.245528,-0.948855,-0.024991,0.090195,0.124026,0.986783,-0.126989,0.097191,0.026205,4.0,2.0,15.0,SACLR,14
0.64,-0.701949,1.063748,0.22199,0.208873,0.251682,-0.945002,-0.036403,0.062573,0.123102,0.985785,-0.130457,0.102372,0.02698,4.0,2.0,15.0,SACLR,14
0.65,-0.769076,1.085926,0.216839,0.21961,0.258119,-0.940822,-0.037344,0.024581,0.10783,0.984704,-0.1341,0.107732,0.027746,4.0,2.0,15.0,SACLR,14
0.66,-0.883161,1.085471,0.198164,0.230373,0.265403,-0.93621,-0.030056,-0.00376,0.082496,0.983511,-0.138203,0.113114,0.028489,4.0,2.0,15.0,SACLR,14
0.67,-0.988847,1.072626,0.199921,0.240996,0.273698,-0.931134,-0.019179,-0.020402,0.064435,0.982197,-0.142856,0.118428,0.029248,4.0,2.0,15.0,SACLR,14
0.68,-1.074218,1.05501,0.218412,0.251468,0.282805,-0.925627,-0.004291,-0.028517,0.040632,0.980768,-0.147973,0.123655,0.030121,4.0,2.0,15.0,SACLR,14
0.69,-1.128726,1.044409,0.227279,0.261814,0.292435,-0.919747,0.00494,-0.026536,0.019692,0.979237,-0.153413,0.128806,0.031129,4.0,2.0,15.0,SACLR,14
0.7,-1.140333,1.026786,0.220448,0.271999,0.302286,-0.913586,0.009144,-0.012309,-0.001209,0.977629,-0.159008,0.133879,0.032172,4.0,2.0,15.0,SACLR,14
0.71,-1.089631,1.006474,0.199206,0.281917,0.31191,-0.907323,0.011906,0.019724,-0.026988,0.975993,-0.164506,0.138839,0.033147,4.0,2.0,15.0,SACLR,14
0.72,-0.95847,0.980973,0.172774,0.291508,0.320696,-0.901209,0.014385,0.065581,-0.054968,0.974398,-0.169566,0.143676,0.033947,4.0,2.0,15.0,SACLR,14
0.73,-0.7572,0.974763,0.147293,0.300815,0.327951,-0.895522,0.024823,0.12757,-0.094499,0.972918,-0.173804,0.148429,0.03451,4.0,2.0,15.0,SACLR,14
0.74,-0.56225,0.976914,0.144597,0.310047,0.333421,-0.890338,0.041424,0.196913,-0.128064,0.971573,-0.177083,0.153208,0.034847,4.0,2.0,15.0,SACLR,14
0.75,-0.398225,0.932912,0.150771,0.319073,0.337219,-0.885706,0.063174,0.240051,-0.147985,0.970372,-0.179467,0.15792,0.035082,4.0,2.0,15.0,SACLR,14
0.76,-0.281083,0.841992,0.163532,0.327478,0.339679,-0.881689,0.078924,0.239605,-0.170725,0.969328,-0.181127,0.162322,0.03531,4.0,2.0,15.0,SACLR,14
0.77,-0.230066,0.761097,0.15624,0.33508,0.341365,-0.878175,0.085116,0.203862,-0.177993,0.968412,-0.18236,0.166306,0.035578,4.0,2.0,15.0,SACLR,14
0.78,-0.248481,0.688158,0.102969,0.341892,0.342986,-0.874911,0.083767,0.162919,-0.169904,0.967563,-0.18352,0.169896,0.035753,4.0,2.0,15.0,SACLR,14
0.79,-0.315051,0.620126,0.041995,0.347877,0.345189,-0.87168,0.077904,0.127177,-0.142847,0.966728,-0.184931,0.173091,0.035723,4.0,2.0,15.0,SACLR,14
0.8,-0.41514,0.537087,0.004997,0.353003,0.348289,-0.86838,0.078927,0.083657,-0.115003,0.965879,-0.186778,0.175852,0.035602,4.0,2.0,15.0,SACLR,14
0.81,-0.544422,0.452426,-0.023044,0.357271,0.352493,-0.864931,0.081495,0.029373,-0.092115,0.964989,-0.189198,0.178153,0.035518,4.0,2.0,15.0,SACLR,14
0.82,-0.69392,0.370853,-0.052887,0.360693,0.357983,-0.861249,0.074778,-0.022442,-0.07262,0.964035,-0.192297,0.179994,0.035497,4.0,2.0,15.0,SACLR,14
0.83,-0.85358,0.297586,-0.083295,0.363305,0.364899,-0.857238,0.065421,-0.061402,-0.06482,0.962993,-0.196155,0.181395,0.035537,4.0,2.0,15.0,SACLR,14
0.84,-1.003209,0.218895,-0.093667,0.365189,0.373195,-0.852856,0.06279,-0.074535,-0.066746,0.961849,-0.200767,0.182387,0.035691,4.0,2.0,15.0,SACLR,14
0.85,-1.100864,0.126887,-0.074082,0.366342,0.382506,-0.848223,0.06185,-0.070891,-0.072111,0.96063,-0.205961,0.182944,0.036074,4.0,2.0,15.0,SACLR,14
0.86,-1.129243,0.050395,-0.048427,0.366823,0.392199,-0.843576,0.060377,-0.063022,-0.086478,0.959396,-0.211405,0.183085,0.036712,4.0,2.0,15.0,SACLR,14
0.87,-1.126748,-0.015814,-0.020133,0.366836,0.401854,-0.839014,0.061691,-0.04164,-0.100073,0.958173,-0.216869,0.182923,0.037561,4.0,2.0,15.0,SACLR,14
0.88,-1.092396,-0.086227,0.006906,0.366381,0.411196,-0.834675,0.057005,-0.023165,-0.098964,0.957,-0.222194,0.182461,0.038594,4.0,2.0,15.0,SACLR,14
0.89,-1.060597,-0.1494,0.044413,0.365493,0.420067,-0.830637,0.055237,-0.024453,-0.101339,0.955893,-0.227297,0.181707,0.039833,4.0,2.0,15.0,SACLR,14
0.9,-1.058853,-0.212706,0.086697,0.364272,0.428617,-0.826797,0.048692,-0.048505,-0.084733,0.954825,-0.232267,0.180703,0.041314,4.0,2.0,15.0,SACLR,14
0.91,-1.052058,-0.291625,0.115976,0.362642,0.436993,-0.823121,0.040571,-0.076412,-0.066375,0.953786,-0.23718,0.179402,0.043048,4.0,2.0,15.0,SACLR,14
0.92,-1.03627,-0.353935,0.130337,0.360524,0.445141,-0.819678,0.03187,-0.100567,-0.046091,0.952795,-0.241987,0.177774,0.044961,4.0,2.0,15.0,SACLR,14
0.93,-1.002795,-0.376919,0.145165,0.358134,0.453014,-0.816406,0.022069,-0.099423,-0.018281,0.951838,-0.246652,0.175955,0.046974,4.0,2.0,15.0,SACLR,14
0.94,-0.955726,-0.370274,0.160975,0.35578,0.460474,-0.813255,0.010873,-0.085078,0.00251,0.950906,-0.251104,0.174125,0.049039,4.0,2.0,15.0,SACLR,14
0.95,-0.907151,-0.357553,0.165988,0.353592,0.46746,-0.810219,0.007675,-0.07476,0.013878,0.95,-0.255301,0.172372,0.051086,4.0,2.0,15.0,SACLR,14
0.96,-0.895801,-0.350734,0.160504,0.351507,0.474154,-0.80723,0.012919,-0.062472,0.018259,0.949103,-0.259337,0.170672,0.05309,4.0,2.0,15.0,SACLR,14
0.97,-0.908706,-0.355432,0.150235,0.349403,0.480881,-0.804158,0.019005,-0.061555,0.029042,0.948182,-0.263391,0.168956,0.055054,4.0,2.0,15.0,SACLR,14
0.98,-0.943128,-0.355388,0.1455,0.347265,0.487789,-0.800918,0.01829,-0.074031,0.037109,0.947211,-0.267551,0.167205,0.057013,4.0,2.0,15.0,SACLR,14
0.99,-1.01383,-0.32926,0.132864,0.345214,0.495108,-0.797305,0.012345,-0.087546,0.055148,0.946138,-0.271959,0.165487,0.058956,4.0,2.0,15.0,SACLR,14
1.0,-1.089244,-0.29746,0.109646,0.343315,0.503072,-0.793129,-0.001641,-0.096822,0.08297,0.944915,-0.276748,0.163848,0.060832,4.0,2.0,15.0,SACLR,14
1.01,-1.174185,-0.250392,0.070032,0.341593,0.511704,-0.788336,-0.019465,-0.104753,0.115911,0.943532,-0.281928,0.162323,0.062566,4.0,2.0,15.0,SACLR,14
1.02,-1.281814,-0.177003,0.029406,0.340157,0.521191,-0.782722,-0.041161,-0.104489,0.155326,0.94194,-0.287614,0.160988,0.064103,4.0,2.0,15.0,SACLR,14
1.03,-1.389426,-0.068171,-0.004005,0.33926,0.531605,-0.776079,-0.07922,-0.104633,0.215029,0.940086,-0.293874,0.159994,0.065408,4.0,2.0,15.0,SACLR,14
1.04,-1.492998,0.038033,-0.022783,0.339057,0.54279,-0.768388,-0.099906,-0.109013,0.229356,0.93796,-0.300651,0.159421,0.066515,4.0,2.0,15.0,SACLR,14
1.05,-1.58607,0.141105,-0.030036,0.339587,0.554671,-0.759619,-0.100635,-0.109389,0.22048,0.935552,-0.307927,0.159285,0.067464,4.0,2.0,15.0,SACLR,14
1.06,-1.688312,0.213892,-0.037581,0.340734,0.567173,-0.74981,-0.121328,-0.134403,0.240197,0.932864,-0.315679,0.159504,0.068335,4.0,2.0,15.0,SACLR,14
1.07,-1.767783,0.261164,-0.01792,0.342356,0.580154,-0.739063,-0.134333,-0.145874,0.233356,0.929916,-0.323844,0.159981,0.069197,4.0,2.0,15.0,SACLR,14
1.08,-1.832943,0.31218,0.015075,0.344456,0.593386,-0.727491,-0.149571,-0.157168,0.222455,0.926727,-0.332316,0.160688,0.070157,4.0,2.0,15.0,SACLR,14
1.09,-1.892278,0.361394,0.063929,0.347117,0.606735,-0.71511,-0.167247,-0.166977,0.22129,0.923297,-0.341046,0.161655,0.07126,4.0,2.0,15.0,SACLR,14
1.1,-1.926072,0.396566,0.122119,0.350396,0.619977,-0.702034,-0.184685,-0.169477,0.220649,0.919646,-0.349929,0.162889,0.072579,4.0,2.0,15.0,SACLR,14
1.11,-1.941064,0.420478,0.16967,0.354153,0.632918,-0.68847,-0.191799,-0.170119,0.217171,0.915829,-0.358841,0.164312,0.074112,4.0,2.0,15.0,SACLR,14
1.12,-1.949291,0.42335,0.206749,0.358253,0.645532,-0.674495,-0.196876,-0.172646,0.220912,0.911867,-0.367751,0.165867,0.075807,4.0,2.0,15.0,SACLR,14
1.13,-1.928681,0.399648,0.249211,0.362487,0.657695,-0.660334,-0.201751,-0.181026,0.23237,0.907816,-0.376568,0.167421,0.077691,4.0,2.0,15.0,SACLR,14
1.14,-1.911566,0.366599,0.291329,0.366788,0.669279,-0.646168,-0.206708,-0.194334,0.244037,0.903724,-0.385203,0.168922,0.07979,4.0,2.0,15.0,SACLR,14
1.15,-1.911018,0.323592,0.360965,0.3712,0.680308,-0.631974,-0.219649,-0.21609,0.258408,0.899571,-0.393697,0.17034,0.082212,4.0,2.0,15.0,SACLR,14
1.16,-1.947914,0.283209,0.446875,0.375875,0.690855,-0.617607,-0.242529,-0.248289,0.27613,0.895303,-0.402135,0.17171,0.085059,4.0,2.0,15.0,SACLR,14
1.17,-2.06655,0.250627,0.537433,0.380934,0.701235,-0.602627,-0.272582,-0.290453,0.284069,0.890781,-0.410787,0.173035,0.088441,4.0,2.0,15.0,SACLR,14
1.18,-2.282053,0.199972,0.669783,0.386541,0.711837,-0.586408,-0.306646,-0.352096,0.306729,0.8858,-0.420014,0.174311,0.092534,4.0,2.0,15.0,SACLR,14
1.19,-2.585398,0.105991,0.821246,0.392788,0.722969,-0.568359,-0.346814,-0.435601,0.327118,0.880141,-0.43017,0.175425,0.097625,4.0,2.0,15.0,SACLR,14
1.2,-2.962324,-0.011476,0.978695,0.399617,0.734881,-0.547956,-0.386845,-0.522082,0.33003,0.873603,-0.441561,0.176199,0.103904,4.0,2.0,15.0,SACLR,14
1.21,-3.40342,-0.097518,1.118561,0.407109,0.747726,-0.524565,-0.431142,-0.591903,0.32887,0.86595,-0.454457,0.176597,0.11141,4.0,2.0,15.0,SACLR,14
1.22,-3.87249,-0.142537,1.238178,0.415399,0.761503,-0.49755,-0.470911,-0.634001,0.343696,0.856957,-0.469049,0.176687,0.120002,4.0,2.0,15.0,SACLR,14
1.23,-4.320869,-0.156199,1.333526,0.424612,0.775875,-0.466607,-0.493933,-0.642101,0.359276,0.846484,-0.485305,0.176567,0.129495,4.0,2.0,15.0,SACLR,14
1.24,-4.703355,-0.18434,1.405297,0.434622,0.790307,-0.431877,-0.489188,-0.607843,0.363121,0.834522,-0.503003,0.176208,0.139684,4.0,2.0,15.0,SACLR,14
1.25,-4.947923,-0.238685,1.451334,0.445169,0.804035,-0.394148,-0.461328,-0.544208,0.350523,0.821251,-0.521658,0.175495,0.150402,4.0,2.0,15.0,SACLR,14
1.26,-4.945916,-0.340072,1.509393,0.456123,0.815978,-0.35515,-0.41845,-0.464446,0.332537,0.807142,-0.540379,0.174399,0.161548,4.0,2.0,15.0,SACLR,14
1.27,-4.705259,-0.469762,1.571334,0.467412,0.825165,-0.317222,-0.37174,-0.376816,0.304648,0.792888,-0.558099,0.17296,0.173031,4.0,2.0,15.0,SACLR,14
1.28,-4.277046,-0.597184,1.654678,0.479173,0.831045,-0.282414,-0.334825,-0.260259,0.268117,0.779143,-0.573952,0.171383,0.18478,4.0,2.0,15.0,SACLR,14
1.29,-3.76068,-0.678769,1.760085,0.491701,0.8335,-0.252008,-0.314349,-0.132908,0.228036,0.766365,-0.58744,0.17003,0.196693,4.0,2.0,15.0,SACLR,14
1.3,-3.294281,-0.657446,1.879129,0.505267,0.832848,-0.225985,-0.317279,-0.034493,0.196093,0.754635,-0.598621,0.169293,0.208612,4.0,2.0,15.0,SACLR,14
1.31,-3.040257,-0.569166,1.999159,0.520111,0.829638,-0.202939,-0.340058,0.006024,0.17088,0.743563,-0.608118,0.169478,0.220415,4.0,2.0,15.0,SACLR,14
1.32,-2.942167,-0.458167,2.129575,0.536181,0.82446,-0.181038,-0.383059,-0.027585,0.149758,0.732537,-0.616779,0.170484,0.232181,4.0,2.0,15.0,SACLR,14
1.33,-3.278086,-0.34946,2.18503,0.553337,0.817851,-0.157919,-0.41906,-0.136363,0.158179,0.72072,-0.625639,0.172093,0.24397,4.0,2.0,15.0,SACLR,14
1.34,-3.991636,-0.231085,2.098712,0.570449,0.810983,-0.129975,-0.453064,-0.226496,0.174699,0.706826,-0.636377,0.173311,0.255703,4.0,2.0,15.0,SACLR,14
1.35,-4.698828,-0.172011,1.94873,0.586589,0.804184,-0.095919,-0.448589,-0.265183,0.174379,0.690334,-0.649588,0.173426,0.267204,4.0,2.0,15.0,SACLR,14
1.36,-5.174356,-0.1734,1.824922,0.601565,0.796777,-0.057142,-0.399966,-0.25184,0.214705,0.671578,-0.664646,0.172263,0.278486,4.0,2.0,15.0,SACLR,14
1.37,-5.245544,-0.235184,1.749334,0.615655,0.787837,-0.016792,-0.320047,-0.12939,0.219902,0.651576,-0.680183,0.170162,0.28956,4.0,2.0,15.0,SACLR,14
1.38,-4.911987,-0.38329,1.721502,0.629273,0.776892,0.02133,-0.225342,0.106638,0.184755,0.631694,-0.694669,0.167631,0.300495,4.0,2.0,15.0,SACLR,14
1.39,-4.224566,-0.591337,1.783295,0.642951,0.764026,0.053649,-0.138389,0.375958,0.131638,0.613319,-0.706771,0.165224,0.311473,4.0,2.0,15.0,SACLR,14
1.4,-3.321285,-0.759682,1.902384,0.657367,0.749533,0.077899,-0.076038,0.579156,0.080029,0.597485,-0.715641,0.163731,0.322587,4.0,2.0,15.0,SACLR,14
1.41,-2.461237,-0.809051,1.973109,0.672532,0.734076,0.093981,-0.052812,0.685205,0.041532,0.584584,-0.721252,0.163664,0.333573,4.0,2.0,15.0,SACLR,14
1.42,-1.933812,-0.7795,1.913685,0.687537,0.718607,0.104382,-0.073081,0.697286,0.040989,0.574042,-0.724609,0.164721,0.343926,4.0,2.0,15.0,SACLR,14
1.43,-1.466884,-0.705384,1.794201,0.701569,0.703848,0.111352,-0.120697,0.640406,0.053122,0.565217,-0.726636,0.166362,0.353346,4.0,2.0,15.0,SACLR,14
1.44,-1.172434,-0.58157,1.721906,0.714545,0.689924,0.115887,-0.146781,0.562532,0.052158,0.55787,-0.727678,0.168607,0.361714,4.0,2.0,15.0,SACLR,14
