secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.01,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.02,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.03,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.04,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.05,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.06,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.07,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.08,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.09,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.1,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.11,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.12,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.13,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.14,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.15,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.16,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.17,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.18,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.19,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.2,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.21,,,,,,,,,,,,,,18.0,3.0,13.0,MTE,22
0.22,0.042899,0.035734,0.05125,0.051893,-0.104448,-0.993176,-0.004209,0.008165,0.000561,0.998292,0.052313,0.025991,-0.0,18.0,3.0,13.0,MTE,22
0.23,0.026917,0.033858,0.056282,0.052198,-0.104831,-0.993119,-0.003934,-0.002912,0.000962,0.998278,0.052498,0.026158,0.000275,18.0,3.0,13.0,MTE,22
0.24,0.005133,0.022804,0.058376,0.052409,-0.105015,-0.993089,-0.000606,-0.006908,0.000535,0.998271,0.052584,0.02628,0.000563,18.0,3.0,13.0,MTE,22
0.25,0.002373,0.019899,0.057053,0.052558,-0.105077,-0.993074,-8.3e-05,-0.005977,0.0058,0.998267,0.052607,0.02637,0.000859,18.0,3.0,13.0,MTE,22
0.26,0.018131,0.029392,0.061134,0.052747,-0.105215,-0.99305,-0.00163,-0.001856,0.010002,0.99826,0.052668,0.026481,0.001173,18.0,3.0,13.0,MTE,22
0.27,0.026263,0.037611,0.063206,0.053017,-0.105452,-0.99301,-0.002725,-0.001558,0.01013,0.99825,0.052779,0.026634,0.00149,18.0,3.0,13.0,MTE,22
0.28,0.032128,0.037869,0.066442,0.053321,-0.105779,-0.992959,-0.001976,-0.005458,0.009301,0.998237,0.052934,0.026804,0.001816,18.0,3.0,13.0,MTE,22
0.29,0.022854,0.041498,0.076209,0.053643,-0.106094,-0.992908,-0.001381,-0.010879,0.006031,0.998223,0.053083,0.026985,0.002179,18.0,3.0,13.0,MTE,22
0.3,0.020326,0.043214,0.0841,0.053973,-0.106364,-0.992861,-0.000536,-0.014944,0.010684,0.99821,0.053207,0.027173,0.002591,18.0,3.0,13.0,MTE,22
0.31,-0.009032,0.039032,0.08692,0.054304,-0.106474,-0.992831,0.000932,-0.025636,0.01189,0.998202,0.05325,0.027363,0.003032,18.0,3.0,13.0,MTE,22
0.32,-0.033134,0.037578,0.093358,0.054586,-0.106308,-0.992834,0.005,-0.033509,0.011862,0.998201,0.053153,0.027528,0.003485,18.0,3.0,13.0,MTE,22
0.33,-0.046285,0.035804,0.108956,0.054847,-0.105956,-0.992857,0.009148,-0.038941,0.014402,0.998205,0.052962,0.027686,0.004005,18.0,3.0,13.0,MTE,22
0.34,-0.040058,0.039131,0.111112,0.055086,-0.105579,-0.992884,0.010893,-0.031765,0.018015,0.998209,0.052757,0.027834,0.00457,18.0,3.0,13.0,MTE,22
0.35,-0.037049,0.051076,0.113783,0.055409,-0.105265,-0.992899,0.008739,-0.023367,0.017024,0.99821,0.052582,0.028026,0.005151,18.0,3.0,13.0,MTE,22
0.36,-0.046474,0.062638,0.122704,0.055834,-0.10493,-0.992911,0.011,-0.027349,0.024527,0.998209,0.052396,0.028269,0.005762,18.0,3.0,13.0,MTE,22
0.37,-0.073701,0.071252,0.131593,0.056348,-0.104421,-0.992936,0.010028,-0.039378,0.031235,0.998212,0.05212,0.02856,0.006431,18.0,3.0,13.0,MTE,22
0.38,-0.107242,0.070945,0.141843,0.054403,-0.121424,-0.991109,0.009272,-0.036474,0.035161,0.997747,0.060642,0.027716,0.007454,18.0,3.0,13.0,MTE,22
0.39,-0.128791,0.075607,0.154481,0.055454,-0.125913,-0.99049,0.000317,-0.036333,0.03645,0.997585,0.062874,0.028317,0.008297,18.0,3.0,13.0,MTE,22
0.4,-0.141555,0.095598,0.165582,0.057334,-0.129,-0.989986,-0.009268,-0.02928,0.032894,0.997451,0.064395,0.029331,0.009159,18.0,3.0,13.0,MTE,22
0.41,-0.170301,0.107045,0.182062,0.059515,-0.131066,-0.989586,-0.02062,-0.023323,0.035805,0.997342,0.065399,0.030498,0.010086,18.0,3.0,13.0,MTE,22
0.42,-0.211153,0.111239,0.203729,0.061432,-0.130645,-0.989524,-0.024308,-0.026932,0.033332,0.997316,0.065148,0.031524,0.011103,18.0,3.0,13.0,MTE,22
0.43,-0.247401,0.103727,0.217472,0.062639,-0.128586,-0.989718,-0.017168,-0.028961,0.026858,0.997351,0.064069,0.032188,0.012225,18.0,3.0,13.0,MTE,22
0.44,-0.271048,0.099132,0.21625,0.063955,-0.126951,-0.989845,-0.020376,-0.01227,0.018974,0.997368,0.063201,0.03291,0.013378,18.0,3.0,13.0,MTE,22
0.45,-0.249886,0.101516,0.209742,0.065041,-0.126601,-0.989819,-0.026558,0.018218,0.003308,0.997346,0.06298,0.033525,0.014535,18.0,3.0,13.0,MTE,22
0.46,-0.20472,0.103547,0.219698,0.065762,-0.127899,-0.989605,-0.030927,0.046341,-0.008397,0.997274,0.063589,0.033974,0.01573,18.0,3.0,13.0,MTE,22
0.47,-0.152831,0.103294,0.223651,0.065593,-0.129943,-0.989349,-0.027202,0.067702,-0.017761,0.997189,0.064575,0.03399,0.016994,18.0,3.0,13.0,MTE,22
0.48,-0.112491,0.100421,0.198624,0.065343,-0.130495,-0.989293,-0.018178,0.088747,-0.024562,0.997154,0.064815,0.033946,0.018175,18.0,3.0,13.0,MTE,22
0.49,-0.0764,0.097275,0.176947,0.065068,-0.130695,-0.989285,-0.008427,0.100269,-0.031284,0.997133,0.064883,0.033878,0.019211,18.0,3.0,13.0,MTE,22
0.5,-0.05613,0.088278,0.155664,0.064967,-0.130955,-0.989257,0.001195,0.110752,-0.031647,0.997108,0.064983,0.033889,0.020123,18.0,3.0,13.0,MTE,22
